filename,width,height,class,xmin,ymin,xmax,ymax
particle-149.jpg,540,504,particle,190,85,432,327
particle-149.jpg,540,504,particle,227,359,299,430
particle-149.jpg,540,504,particle,438,284,500,344
particle-1021.jpg,326,358,particle,131,21,326,78
particle-1021.jpg,326,358,particle,45,81,295,246
particle-1021.jpg,326,358,particle,83,263,287,315
particle-1021.jpg,326,358,particle,8,160,68,228
particle-665.jpg,298,214,particle,69,97,117,150
particle-665.jpg,298,214,particle,121,54,217,151
particle-665.jpg,298,214,particle,2,2,66,45
particle-665.jpg,298,214,particle,270,57,294,86
yeast-400.jpg,84,98,yeast,26,46,60,77
yeast-142.jpg,158,126,yeast,39,4,76,36
yeast-142.jpg,158,126,yeast,60,51,94,81
yeast-142.jpg,158,126,yeast,30,66,57,90
particle-437.jpg,782,624,particle,252,20,686,278
particle-437.jpg,782,624,particle,49,178,715,605
yeast-463.jpg,56,48,yeast,23,21,49,46
particle-471.jpg,332,292,particle,30,25,277,238
particle-471.jpg,332,292,particle,249,224,291,263
yeast-76.jpg,112,92,yeast,22,24,81,70
yeast-612.jpg,122,118,yeast,31,24,61,54
yeast-612.jpg,122,118,yeast,59,101,91,118
particle-594.jpg,340,376,particle,124,195,212,282
particle-594.jpg,340,376,particle,141,71,282,228
particle-594.jpg,340,376,particle,1,81,43,115
yeast-1047.jpg,60,86,yeast,5,12,49,73
yeast-919.jpg,124,120,yeast,15,4,84,58
particle-73.jpg,308,284,particle,79,40,204,204
yeast-329.jpg,34,46,yeast,3,10,22,32
yeast-584.jpg,150,158,yeast,2,5,122,110
yeast-670.jpg,112,96,yeast,40,32,68,81
yeast-670.jpg,112,96,yeast,75,44,107,83
yeast-453.jpg,94,68,yeast,18,21,69,55
particle-241.jpg,394,388,particle,55,36,326,334
yeast-399.jpg,56,82,yeast,20,29,48,53
yeast-344.jpg,90,114,yeast,37,65,78,111
yeast-628.jpg,84,64,yeast,25,20,69,47
particle-673.jpg,536,490,particle,51,39,441,458
yeast-136.jpg,258,232,yeast,14,6,227,227
yeast-136.jpg,258,232,yeast,14,96,53,176
yeast-136.jpg,258,232,yeast,182,103,223,151
yeast-136.jpg,258,232,yeast,225,18,249,68
yeast-536.jpg,102,116,yeast,22,41,68,72
particle-838.jpg,190,140,particle,47,42,139,125
particle-1049.jpg,492,470,particle,228,30,347,171
particle-1049.jpg,492,470,particle,127,94,172,141
particle-1049.jpg,492,470,particle,354,8,429,69
particle-1049.jpg,492,470,particle,360,110,447,160
particle-1049.jpg,492,470,particle,293,166,382,213
particle-1049.jpg,492,470,particle,292,222,449,383
particle-1049.jpg,492,470,particle,50,137,290,267
particle-1049.jpg,492,470,particle,39,149,302,470
particle-300.jpg,570,410,particle,10,109,220,311
particle-300.jpg,570,410,particle,173,30,450,332
particle-300.jpg,570,410,particle,175,263,374,396
particle-300.jpg,570,410,particle,476,260,568,389
particle-516.jpg,308,298,particle,46,9,189,268
particle-516.jpg,308,298,particle,197,45,307,177
yeast-864.jpg,208,138,yeast,19,71,74,106
yeast-864.jpg,208,138,yeast,67,7,134,60
yeast-864.jpg,208,138,yeast,38,56,102,123
yeast-864.jpg,208,138,yeast,99,51,119,74
yeast-581.jpg,128,136,yeast,6,43,35,69
yeast-581.jpg,128,136,yeast,3,57,111,127
particle-126.jpg,144,156,particle,42,28,138,127
yeast-8.jpg,270,262,yeast,115,75,176,157
particle-419.jpg,186,230,particle,55,49,163,173
particle-419.jpg,186,230,particle,4,106,44,155
particle-676.jpg,416,354,particle,56,6,379,327
particle-676.jpg,416,354,particle,333,251,416,354
particle-36.jpg,214,232,particle,34,14,191,225
